course,id,last_name,first_name,email,phone
CSC110a,228229,Bale,Allianora,abale0@cdbaby.com,161-231-3382
CSC110a,205003,Joesbury,Sheilah,sjoesbury1@edublogs.org,888-518-2527
CSC110a,184945,Asman,Renata,rasman2@nih.gov,404-513-9887
CSC110a,185545,Ottawell,Linnet,lottawell3@lycos.com,764-323-4120
CSC110a,270858,Passion,Jaymee,jpassion4@usgs.gov,291-687-2162
CSC110a,248947,Izatson,Cornie,cizatson5@bravesites.com,815-353-4886
CSC110a,165784,Tawn,Iggy,itawn6@people.com.cn,764-903-6885
CSC110a,125681,Chinnery,Christie,cchinnery7@stanford.edu,705-891-4823
CSC110a,205798,Scarlan,Florina,fscarlan8@kickstarter.com,707-567-4444
CSC110a,151591,Moen,Bentlee,bmoen9@arstechnica.com,724-286-5680
CSC110a,152664,Worge,Fraser,fworgea@dropbox.com,924-641-3333
CSC110a,183497,Kilpatrick,Meryl,mkilpatrickb@msu.edu,197-137-2099
CSC110a,131236,Busse,Kimberley,kbussec@archive.org,181-951-3561
CSC110a,299676,Etter,Rakel,retterd@tinypic.com,287-903-2950
CSC110a,179478,Burgis,Ban,bburgise@dot.gov,351-240-4015
CSC110a,168564,Jaegar,Pearla,pjaegarf@smh.com.au,966-702-8072
CSC110a,288894,Doone,Nonnah,ndooneg@adobe.com,297-668-0916
CSC110a,256303,Ellar,Fredrika,fellarh@usda.gov,535-165-6797
CSC110a,116190,O'Spellissey,Dorine,dospellisseyi@deviantart.com,479-487-8508
CSC110a,131126,Amer,Sauncho,samerj@miitbeian.gov.cn,387-514-1547
CSC110a,136073,Ullrich,Merilyn,mullrichk@paypal.com,829-190-2423
CSC110a,164223,Casburn,Amil,acasburnl@gizmodo.com,958-284-8877
CSC110a,194878,Espie,Winny,wespiem@delicious.com,921-685-1320
CSC110a,221486,Nanni,Georas,gnannin@amazon.co.jp,252-683-6505
CSC110b,204710,Scholes,Adolf,ascholeso@intel.com,125-290-2502
CSC110b,230107,Moorcraft,Samuel,smoorcraftp@jalbum.net,708-625-9781
CSC110b,230022,Merrilees,Quincey,qmerrileesq@lycos.com,738-184-3681
CSC110b,274996,Deverall,Elden,edeverallr@yandex.ru,791-489-6675
CSC110b,125212,Buttriss,Jacquetta,jbuttrisss@auda.org.au,246-501-2519
CSC110b,135281,Siegertsz,Spenser,ssiegertszt@whitehouse.gov,439-581-5852
CSC110b,176610,Ryves,Lura,lryvesu@example.com,368-540-6824
CSC110b,137057,Marshland,Marianna,mmarshlandv@wordpress.com,121-482-3371
CSC110b,122094,Hanscom,Cilka,chanscomw@rakuten.co.jp,904-118-6435
CSC110b,164425,Aveson,Faustine,favesonx@blogger.com,271-507-6167
CSC110b,196719,Brosius,Vasili,vbrosiusy@unesco.org,625-900-9507
CSC110b,200129,Rasp,Jules,jraspz@archive.org,417-676-3025
CSC110b,209940,Pedden,Sharity,spedden10@networksolutions.com,674-204-4680
CSC110b,147017,Palffrey,Chev,cpalffrey11@addtoany.com,784-931-5464
CSC110b,271904,Belderfield,Sibelle,sbelderfield12@jugem.jp,774-665-1830
CSC110b,213107,Sully,Hayden,hsully13@desdev.cn,696-794-7729
CSC110b,143699,Geipel,Dyanne,dgeipel14@i2i.jp,784-878-7979
CSC110b,205809,Vasyuchov,Salomi,svasyuchov15@deliciousdays.com,273-706-7221
CSC110b,125836,Human,Octavius,ohuman16@hud.gov,859-121-4893
CSC110b,114117,Odhams,Koo,kodhams17@imgur.com,581-314-9628
CSC110b,293204,Lambertini,Carolin,clambertini18@youku.com,217-367-3996
CSC110b,272239,Jammes,Devland,djammes19@senate.gov,787-521-2616
CSC110b,188408,Lefridge,Othilia,olefridge1a@vkontakte.ru,376-687-0819
CSC110b,124466,Whittington,Michaella,mwhittington1b@blogtalkradio.com,281-426-1074
CSC110b,246087,Josebury,Mark,mjosebury1c@nsw.gov.au,364-856-9801
CSC110b,165149,Earwaker,Portia,pearwaker1d@mit.edu,648-177-3596
CSC110b,151142,Cutmare,Angil,acutmare1e@foxnews.com,856-587-2046
CSC110c,101758,Weine,Jethro,jweine1f@skype.com,617-669-8089
CSC110c,190736,Bownd,Griffin,gbownd1g@friendfeed.com,611-169-6303
CSC110c,240529,Simonsson,Sissy,ssimonsson1h@soundcloud.com,378-763-0822
CSC110c,115051,Hedau,Dur,dhedau1i@wordpress.com,946-830-4242
